#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A360CA
#Date Time: 2026-04-25 14:11:07.948
#Sample rate: 4137.02Hz
#Samples: 8192
#Trigger: None
#Channel 1: Range: 1 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.7389369449939569,-0.0008095127087391468
-0.7386952249939569,-0.0008095127087391468
-0.7384535049939569,-0.0008095127087391468
-0.7382117849939569,-0.0008095127087391468
-0.7379700649939569,-0.0008095127087391468
-0.7377283449939569,-0.0008095127087391468
-0.7374866249939569,-0.0008095127087391468
-0.7372449049939569,-0.0008095127087391468
-0.7370031849939569,-0.0008095127087391468
-0.7367614649939569,-0.0008095127087391468
-0.7365197449939569,-0.0008095127087391468
-0.7362780249939569,-0.0008095127087391468
-0.7360363049939569,-0.0008095127087391468
-0.7357945849939569,-0.0008095127087391468
-0.7355528649939569,-0.0008095127087391468
-0.7353111449939569,-0.0008095127087391468
-0.735069424993957,-0.0008095127087391468
-0.734827704993957,-0.0008095127087391468
-0.734585984993957,-0.0008095127087391468
-0.734344264993957,-0.0008095127087391468
-0.734102544993957,-0.0008095127087391468
-0.733860824993957,-0.0008095127087391468
-0.733619104993957,-0.0008095127087391468
-0.733377384993957,-0.0008095127087391468
-0.733135664993957,-0.0008095127087391468
-0.732893944993957,-0.0008095127087391468
-0.732652224993957,-0.0008095127087391468
-0.732410504993957,-0.0008095127087391468
-0.732168784993957,-0.0008095127087391468
-0.731927064993957,-0.0008095127087391468
-0.731685344993957,-0.0008095127087391468
-0.731443624993957,-0.0008095127087391468
-0.731201904993957,-0.0008095127087391468
-0.730960184993957,-0.0008095127087391468
-0.730718464993957,-0.0008095127087391468
-0.730476744993957,-0.0008095127087391468
-0.730235024993957,-0.0008095127087391468
-0.729993304993957,-0.0008095127087391468
-0.729751584993957,-0.0008095127087391468
-0.729509864993957,-0.0008095127087391468
-0.729268144993957,-0.0008095127087391468
-0.729026424993957,-0.0008095127087391468
-0.728784704993957,-0.0008095127087391468
-0.728542984993957,-0.0008095127087391468
-0.728301264993957,-0.0008095127087391468
-0.728059544993957,-0.0008095127087391468
-0.727817824993957,-0.0008095127087391468
-0.727576104993957,-0.0008095127087391468
-0.727334384993957,-0.0008095127087391468
-0.727092664993957,-0.0008095127087391468
