,Media (s),Desviación Estándar (s),Mediciones Consideradas
Channel 1,3.454929286784186e-06,4.4619768340331496e-08,39441.0
Channel 2,6.653894754182318e-06,6.460538313776381e-08,39441.0
Channel 3,1.2646200243397427e-05,8.572617077939255e-08,39442.0
Channel 4,2.4631592794485196e-05,1.1823152225315636e-07,39442.0
Channel 5,4.8604958648140516e-05,1.753825134574189e-07,39442.0
Channel 6,9.655184939147812e-05,2.225717159728576e-07,39440.0
