,Media (µs),Desviación Estándar (µs),Mediciones Consideradas
Channel 1,5.1978347063497745,0.11441788678866904,41393.0
Channel 2,7.55449112168545,0.2119129003449966,41393.0
Channel 3,12.159939577695992,0.15057105121794107,41392.0
Channel 4,22.155345525708082,0.05637658042158734,41392.0
Channel 5,41.406754856011524,0.07503110571229708,41392.0
Channel 6,79.95590034065093,0.13882142612833384,41391.0
