Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
2.625683958,1,1,1,1,1,1
2.625688500,1,0,1,1,1,1
2.625696000,1,1,1,1,1,1
2.625701417,1,1,0,1,1,1
2.625714458,1,1,1,1,1,1
2.625719000,1,1,1,0,1,1
2.625741208,1,1,1,1,1,1
2.625745750,1,1,1,1,0,1
2.625787167,1,1,1,1,1,1
2.625791667,1,1,1,1,1,0
2.625871625,1,1,1,1,1,1
2.625876875,0,1,1,1,1,1
2.625882042,1,1,1,1,1,1
2.625886583,1,0,1,1,1,1
2.625894083,1,1,1,1,1,1
2.625898583,1,1,0,1,1,1
2.625910750,1,1,1,1,1,1
2.625915292,1,1,1,0,1,1
2.625937458,1,1,1,1,1,1
2.625942000,1,1,1,1,0,1
2.625983417,1,1,1,1,1,1
2.625987917,1,1,1,1,1,0
2.626067875,1,1,1,1,1,1
2.626073125,0,1,1,1,1,1
2.626078333,1,1,1,1,1,1
2.626082833,1,0,1,1,1,1
2.626090375,1,1,1,1,1,1
2.626094875,1,1,0,1,1,1
2.626107000,1,1,1,1,1,1
2.626111542,1,1,1,0,1,1
2.626133708,1,1,1,1,1,1
2.626138292,1,1,1,1,0,1
2.626179667,1,1,1,1,1,1
2.626184208,1,1,1,1,1,0
2.626264125,1,1,1,1,1,1
2.626269375,0,1,1,1,1,1
2.626274583,1,1,1,1,1,1
2.626279083,1,0,1,1,1,1
2.626286625,1,1,1,1,1,1
2.626291125,1,1,0,1,1,1
2.626303250,1,1,1,1,1,1
2.626307792,1,1,1,0,1,1
2.626329958,1,1,1,1,1,1
2.626334542,1,1,1,1,0,1
2.626375917,1,1,1,1,1,1
2.626380417,1,1,1,1,1,0
2.626460333,1,1,1,1,1,1
2.626465625,0,1,1,1,1,1
2.626470792,1,1,1,1,1,1
2.626475292,1,0,1,1,1,1
2.626482833,1,1,1,1,1,1
2.626487333,1,1,0,1,1,1
2.626499458,1,1,1,1,1,1
2.626504000,1,1,1,0,1,1
2.626526167,1,1,1,1,1,1
2.626530708,1,1,1,1,0,1
2.626572125,1,1,1,1,1,1
2.626576625,1,1,1,1,1,0
2.626656583,1,1,1,1,1,1
2.626661833,0,1,1,1,1,1
2.626667000,1,1,1,1,1,1
2.626671542,1,0,1,1,1,1
2.626679042,1,1,1,1,1,1
2.626683542,1,1,0,1,1,1
2.626696500,1,1,1,1,1,1
2.626701292,1,1,1,0,1,1
2.626724292,1,1,1,1,1,1
2.626728833,1,1,1,1,0,1
2.626770250,1,1,1,1,1,1
2.626774792,1,1,1,1,1,0
2.626854708,1,1,1,1,1,1
2.626859958,0,1,1,1,1,1
2.626865167,1,1,1,1,1,1
2.626869667,1,0,1,1,1,1
2.626877208,1,1,1,1,1,1
2.626881708,1,1,0,1,1,1
2.626893833,1,1,1,1,1,1
2.626898375,1,1,1,0,1,1
2.626920542,1,1,1,1,1,1
2.626925083,1,1,1,1,0,1
2.626966500,1,1,1,1,1,1
2.626971042,1,1,1,1,1,0
2.627050958,1,1,1,1,1,1
2.627056250,0,1,1,1,1,1
2.627061417,1,1,1,1,1,1
2.627065917,1,0,1,1,1,1
2.627073458,1,1,1,1,1,1
2.627077958,1,1,0,1,1,1
2.627090083,1,1,1,1,1,1
2.627094667,1,1,1,0,1,1
2.627116792,1,1,1,1,1,1
2.627121375,1,1,1,1,0,1
2.627162750,1,1,1,1,1,1
2.627167292,1,1,1,1,1,0
2.627247208,1,1,1,1,1,1
2.627252500,0,1,1,1,1,1
2.627257667,1,1,1,1,1,1
2.627262167,1,0,1,1,1,1
2.627269708,1,1,1,1,1,1
2.627274208,1,1,0,1,1,1
2.627286333,1,1,1,1,1,1
2.627290917,1,1,1,0,1,1
2.627313083,1,1,1,1,1,1
2.627317625,1,1,1,1,0,1
2.627359042,1,1,1,1,1,1
2.627363542,1,1,1,1,1,0
2.627443500,1,1,1,1,1,1
2.627448750,0,1,1,1,1,1
2.627453958,1,1,1,1,1,1
2.627458458,1,0,1,1,1,1
2.627466000,1,1,1,1,1,1
2.627470500,1,1,0,1,1,1
2.627482625,1,1,1,1,1,1
2.627487208,1,1,1,0,1,1
2.627509333,1,1,1,1,1,1
2.627513917,1,1,1,1,0,1
2.627555333,1,1,1,1,1,1
2.627559833,1,1,1,1,1,0
2.627639792,1,1,1,1,1,1
2.627645042,0,1,1,1,1,1
2.627650208,1,1,1,1,1,1
2.627654750,1,0,1,1,1,1
2.627662250,1,1,1,1,1,1
2.627666750,1,1,0,1,1,1
2.627678917,1,1,1,1,1,1
2.627683458,1,1,1,0,1,1
2.627706042,1,1,1,1,1,1
2.627710792,1,1,1,1,0,1
2.627752292,1,1,1,1,1,1
2.627756833,1,1,1,1,1,0
2.627836792,1,1,1,1,1,1
2.627842042,0,1,1,1,1,1
2.627847250,1,1,1,1,1,1
2.627851750,1,0,1,1,1,1
2.627859292,1,1,1,1,1,1
2.627863792,1,1,0,1,1,1
2.627875917,1,1,1,1,1,1
2.627880458,1,1,1,0,1,1
2.627902625,1,1,1,1,1,1
2.627907208,1,1,1,1,0,1
2.627948583,1,1,1,1,1,1
2.627953125,1,1,1,1,1,0
2.628033042,1,1,1,1,1,1
2.628038333,0,1,1,1,1,1
2.628043500,1,1,1,1,1,1
2.628048000,1,0,1,1,1,1
2.628055542,1,1,1,1,1,1
2.628060042,1,1,0,1,1,1
2.628072167,1,1,1,1,1,1
2.628076750,1,1,1,0,1,1
2.628098875,1,1,1,1,1,1
2.628103458,1,1,1,1,0,1
2.628144833,1,1,1,1,1,1
2.628149375,1,1,1,1,1,0
2.628229333,1,1,1,1,1,1
2.628234583,0,1,1,1,1,1
