Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
2.138395792,1,1,1,1,1,1
2.138400000,1,1,0,1,1,1
2.138412625,1,1,1,1,1,1
2.138416917,1,1,1,0,1,1
2.138441542,1,1,1,1,1,1
2.138446000,1,1,1,1,0,1
2.138494583,1,1,1,1,1,1
2.138499042,1,1,1,1,1,0
2.138595583,1,1,1,1,1,1
2.138600208,0,1,1,1,1,1
2.138603667,1,1,1,1,1,1
2.138607833,1,0,1,1,1,1
2.138614500,1,1,1,1,1,1
2.138618708,1,1,0,1,1,1
2.138631333,1,1,1,1,1,1
2.138635583,1,1,1,0,1,1
2.138660208,1,1,1,1,1,1
2.138664708,1,1,1,1,0,1
2.138713292,1,1,1,1,1,1
2.138717750,1,1,1,1,1,0
2.138814250,1,1,1,1,1,1
2.138818875,0,1,1,1,1,1
2.138822333,1,1,1,1,1,1
2.138826542,1,0,1,1,1,1
2.138833167,1,1,1,1,1,1
2.138837375,1,1,0,1,1,1
2.138850042,1,1,1,1,1,1
2.138854292,1,1,1,0,1,1
2.138878917,1,1,1,1,1,1
2.138883375,1,1,1,1,0,1
2.138932000,1,1,1,1,1,1
2.138936417,1,1,1,1,1,0
2.139032958,1,1,1,1,1,1
2.139037583,0,1,1,1,1,1
2.139041042,1,1,1,1,1,1
2.139045208,1,0,1,1,1,1
2.139051875,1,1,1,1,1,1
2.139056083,1,1,0,1,1,1
2.139068708,1,1,1,1,1,1
2.139073000,1,1,1,0,1,1
2.139098333,1,1,1,1,1,1
2.139102792,1,1,1,1,0,1
2.139151375,1,1,1,1,1,1
2.139155833,1,1,1,1,1,0
2.139252333,1,1,1,1,1,1
2.139256958,0,1,1,1,1,1
2.139260417,1,1,1,1,1,1
2.139264625,1,0,1,1,1,1
2.139271250,1,1,1,1,1,1
2.139275458,1,1,0,1,1,1
2.139288125,1,1,1,1,1,1
2.139292375,1,1,1,0,1,1
2.139317000,1,1,1,1,1,1
2.139321458,1,1,1,1,0,1
2.139370042,1,1,1,1,1,1
2.139374500,1,1,1,1,1,0
2.139471000,1,1,1,1,1,1
2.139475625,0,1,1,1,1,1
2.139479083,1,1,1,1,1,1
2.139483250,1,0,1,1,1,1
2.139489917,1,1,1,1,1,1
2.139494125,1,1,0,1,1,1
2.139506750,1,1,1,1,1,1
2.139511042,1,1,1,0,1,1
2.139535625,1,1,1,1,1,1
2.139540125,1,1,1,1,0,1
2.139588708,1,1,1,1,1,1
2.139593167,1,1,1,1,1,0
2.139689667,1,1,1,1,1,1
2.139694250,0,1,1,1,1,1
2.139697708,1,1,1,1,1,1
2.139701917,1,0,1,1,1,1
