Time (s),Channel 1 (V),Channel 2 (V)
-2.303902267203402,-0.01389629833863799,-0.01409460297004507
-2.303777267203403,-0.01389629833863799,-0.01409460297004507
-2.303652267203403,-0.01389629833863799,-0.01409460297004507
-2.303527267203402,-0.01389629833863799,-0.01409460297004507
-2.303402267203403,-0.01389629833863799,-0.01409460297004507
-2.303277267203403,-0.01389629833863799,-0.01442307138925965
-2.303152267203402,-0.01389629833863799,-0.01409460297004507
-2.303027267203403,-0.01389629833863799,-0.01409460297004507
-2.302902267203403,-0.01756740621192355,-0.01409460297004507
-2.302777267203402,-0.01756740621192355,-0.01409460297004507
-2.302652267203403,-0.01389629833863799,-0.01409460297004507
-2.302527267203403,-0.01756740621192355,-0.01442307138925965
-2.302402267203403,-0.01389629833863799,-0.01442307138925965
-2.302277267203403,-0.01389629833863799,-0.01409460297004507
-2.302152267203402,-0.01389629833863799,-0.01409460297004507
-2.302027267203403,-0.01389629833863799,-0.01376613455083048
-2.301902267203403,-0.01389629833863799,-0.01409460297004507
-2.301777267203402,-0.01389629833863799,-0.01409460297004507
-2.301652267203403,-0.01389629833863799,-0.01442307138925965
-2.301527267203403,-0.01389629833863799,-0.01442307138925965
-2.301402267203402,-0.01756740621192355,-0.01409460297004507
-2.301277267203403,-0.01389629833863799,-0.01409460297004507
-2.301152267203403,-0.01756740621192355,-0.01409460297004507
-2.301027267203402,-0.01756740621192355,-0.01409460297004507
-2.300902267203403,-0.01389629833863799,-0.01442307138925965
-2.300777267203403,-0.01389629833863799,-0.01442307138925965
-2.300652267203402,-0.01389629833863799,-0.01409460297004507
-2.300527267203403,-0.01389629833863799,-0.01409460297004507
-2.300402267203403,-0.01389629833863799,-0.01409460297004507
-2.300277267203402,-0.01756740621192355,-0.01409460297004507
-2.300152267203403,-0.01389629833863799,-0.01409460297004507
-2.300027267203403,-0.01389629833863799,-0.01442307138925965
-2.299902267203402,-0.01389629833863799,-0.01442307138925965
-2.299777267203403,-0.01389629833863799,-0.01409460297004507
-2.299652267203403,-0.01389629833863799,-0.01409460297004507
-2.299527267203402,-0.01389629833863799,-0.01409460297004507
-2.299402267203403,-0.01389629833863799,-0.01409460297004507
-2.299277267203403,-0.01389629833863799,-0.01409460297004507
-2.299152267203402,-0.01389629833863799,-0.01409460297004507
-2.299027267203403,-0.01389629833863799,-0.01442307138925965
-2.298902267203403,-0.01389629833863799,-0.01442307138925965
-2.298777267203402,-0.01389629833863799,-0.01409460297004507
-2.298652267203403,-0.01389629833863799,-0.01409460297004507
-2.298527267203403,-0.01389629833863799,-0.01409460297004507
-2.298402267203403,-0.01389629833863799,-0.01409460297004507
-2.298277267203403,-0.01389629833863799,-0.01409460297004507
-2.298152267203402,-0.01389629833863799,-0.01442307138925965
-2.298027267203403,-0.01389629833863799,-0.01442307138925965
-2.297902267203403,-0.01389629833863799,-0.01442307138925965
-2.297777267203402,-0.01389629833863799,-0.01409460297004507
-2.297652267203403,-0.01389629833863799,-0.01409460297004507
-2.297527267203403,-0.01756740621192355,-0.01409460297004507
-2.297402267203402,-0.01389629833863799,-0.01409460297004507
-2.297277267203403,-0.01389629833863799,-0.01442307138925965
-2.297152267203403,-0.01389629833863799,-0.01442307138925965
-2.297027267203402,-0.01389629833863799,-0.01409460297004507
-2.296902267203403,-0.01389629833863799,-0.01409460297004507
-2.296777267203403,-0.01389629833863799,-0.01409460297004507
-2.296652267203402,-0.01389629833863799,-0.01409460297004507
-2.296527267203403,-0.01389629833863799,-0.01442307138925965
-2.296402267203403,-0.01389629833863799,-0.01442307138925965
-2.296277267203402,-0.01389629833863799,-0.01409460297004507
-2.296152267203403,-0.01389629833863799,-0.01409460297004507
-2.296027267203403,-0.01389629833863799,-0.01409460297004507
-2.295902267203402,-0.01756740621192355,-0.01442307138925965
-2.295777267203403,-0.01389629833863799,-0.01442307138925965
-2.295652267203403,-0.01389629833863799,-0.01475153980847423
-2.295527267203402,-0.01389629833863799,-0.01442307138925965
-2.295402267203403,-0.01389629833863799,-0.01442307138925965
-2.295277267203403,-0.01756740621192355,-0.01409460297004507
-2.295152267203402,-0.01756740621192355,-0.01409460297004507
-2.295027267203403,-0.01389629833863799,-0.01409460297004507
-2.294902267203403,-0.01389629833863799,-0.01442307138925965
-2.294777267203403,-0.01389629833863799,-0.01442307138925965
-2.294652267203403,-0.01756740621192355,-0.01409460297004507
-2.294527267203402,-0.01389629833863799,-0.01409460297004507
-2.294402267203403,-0.01756740621192355,-0.01409460297004507
-2.294277267203403,-0.01756740621192355,-0.01409460297004507
-2.294152267203402,-0.01389629833863799,-0.01409460297004507
-2.294027267203403,-0.01756740621192355,-0.01442307138925965
-2.293902267203403,-0.01389629833863799,-0.01475153980847423
-2.293777267203402,-0.01389629833863799,-0.01442307138925965
-2.293652267203403,-0.01389629833863799,-0.01409460297004507
-2.293527267203403,-0.01389629833863799,-0.01409460297004507
-2.293402267203402,-0.01389629833863799,-0.01409460297004507
-2.293277267203403,-0.01389629833863799,-0.01409460297004507
-2.293152267203403,-0.01389629833863799,-0.01442307138925965
-2.293027267203402,-0.01389629833863799,-0.01442307138925965
-2.292902267203403,-0.01389629833863799,-0.01442307138925965
-2.292777267203403,-0.01389629833863799,-0.01409460297004507
-2.292652267203402,-0.01389629833863799,-0.01409460297004507
-2.292527267203403,-0.01389629833863799,-0.01409460297004507
-2.292402267203403,-0.01389629833863799,-0.01409460297004507
-2.292277267203402,-0.01389629833863799,-0.01442307138925965
-2.292152267203403,-0.01389629833863799,-0.01442307138925965
-2.292027267203403,-0.01756740621192355,-0.01409460297004507
-2.291902267203402,-0.01389629833863799,-0.01409460297004507
-2.291777267203403,-0.01389629833863799,-0.01409460297004507
-2.291652267203403,-0.01756740621192355,-0.01409460297004507
-2.291527267203402,-0.01389629833863799,-0.01409460297004507
-2.291402267203403,-0.01389629833863799,-0.01409460297004507
-2.291277267203403,-0.01389629833863799,-0.01475153980847423
-2.291152267203402,-0.01389629833863799,-0.01442307138925965
-2.291027267203403,-0.01756740621192355,-0.01409460297004507
-2.290902267203403,-0.01389629833863799,-0.01409460297004507
-2.290777267203403,-0.01389629833863799,-0.01409460297004507
-2.290652267203403,-0.01389629833863799,-0.01409460297004507
