Time (s),Channel 1 (V)
-0.01024,1.660894944859709
-0.0102375,1.661228888681568
-0.010235,1.660894944859709
-0.0102325,1.660894944859709
-0.01023,1.660894944859709
-0.0102275,1.660894944859709
-0.010225,1.660894944859709
-0.0102225,1.661228888681568
-0.01022,1.660894944859709
-0.0102175,1.660894944859709
-0.010215,1.661228888681568
-0.0102125,1.661228888681568
-0.01021,1.660894944859709
-0.0102075,1.660561001037851
-0.010205,1.660894944859709
-0.0102025,1.660894944859709
-0.0102,1.660894944859709
-0.0101975,1.661228888681568
-0.010195,1.660894944859709
-0.0101925,1.661228888681568
-0.01019,1.660894944859709
-0.0101875,1.661228888681568
-0.010185,1.661228888681568
-0.0101825,1.661228888681568
-0.01018,1.660894944859709
-0.0101775,1.661228888681568
-0.010175,1.661228888681568
-0.0101725,1.661562832503426
-0.01017,1.661228888681568
-0.0101675,1.661228888681568
-0.010165,1.661562832503426
-0.0101625,1.661228888681568
-0.01016,1.660894944859709
-0.0101575,1.661228888681568
-0.010155,1.661562832503426
-0.0101525,1.660894944859709
-0.01015,1.661228888681568
-0.0101475,1.660894944859709
-0.010145,1.661228888681568
-0.0101425,1.660894944859709
-0.01014,1.661228888681568
-0.0101375,1.660894944859709
-0.010135,1.661228888681568
-0.0101325,1.661228888681568
-0.01013,1.661228888681568
-0.0101275,1.661562832503426
-0.010125,1.661228888681568
-0.0101225,1.660561001037851
-0.01012,1.661562832503426
-0.0101175,1.661228888681568
-0.010115,1.661228888681568
-0.0101125,1.661562832503426
-0.01011,1.661562832503426
-0.0101075,1.661228888681568
-0.010105,1.661228888681568
-0.0101025,1.660894944859709
-0.0101,1.661228888681568
-0.0100975,1.660894944859709
-0.010095,1.661228888681568
-0.0100925,1.661228888681568
-0.01009,1.660894944859709
-0.0100875,1.661228888681568
-0.010085,1.661228888681568
-0.0100825,1.661562832503426
-0.01008,1.661228888681568
-0.0100775,1.661228888681568
-0.010075,1.661228888681568
-0.0100725,1.661228888681568
-0.01007,1.660561001037851
-0.0100675,1.661228888681568
-0.010065,1.661228888681568
-0.0100625,1.660894944859709
-0.01006,1.661228888681568
-0.0100575,1.661228888681568
-0.010055,1.661562832503426
-0.0100525,1.661228888681568
-0.01005,1.661228888681568
-0.0100475,1.661228888681568
-0.010045,1.661228888681568
-0.0100425,1.661562832503426
-0.01004,1.661228888681568
-0.0100375,1.661896776325285
-0.010035,1.661228888681568
-0.0100325,1.661228888681568
-0.01003,1.661228888681568
-0.0100275,1.661228888681568
-0.010025,1.660894944859709
-0.0100225,1.661562832503426
-0.01002,1.661562832503426
-0.0100175,1.661562832503426
-0.010015,1.661228888681568
-0.0100125,1.660894944859709
-0.01001,1.661562832503426
-0.0100075,1.661562832503426
-0.010005,1.660894944859709
-0.0100025,1.661228888681568
-0.01,1.661562832503426
-0.009997499999999999,1.661562832503426
-0.009995,1.660894944859709
-0.0099925,1.661562832503426
-0.009990000000000001,1.661562832503426
-0.0099875,1.661562832503426
-0.009985000000000001,1.661562832503426
-0.0099825,1.660894944859709
-0.009979999999999999,1.661228888681568
-0.0099775,1.661228888681568
-0.009974999999999999,1.660894944859709
-0.0099725,1.660894944859709
-0.00997,1.661228888681568
-0.009967500000000001,1.661228888681568
-0.009965,1.661562832503426
-0.009962499999999999,1.661896776325285
-0.00996,1.661562832503426
-0.009957499999999999,1.661228888681568
-0.009955,1.661228888681568
-0.0099525,1.660894944859709
-0.009950000000000001,1.660894944859709
-0.0099475,1.661562832503426
-0.009945000000000001,1.661562832503426
-0.0099425,1.661228888681568
-0.009939999999999999,1.660894944859709
-0.0099375,1.660894944859709
-0.009934999999999999,1.660894944859709
-0.0099325,1.661228888681568
-0.00993,1.660894944859709
-0.009927500000000001,1.661228888681568
-0.009925,1.661562832503426
-0.009922500000000001,1.661228888681568
-0.00992,1.661228888681568
-0.009917499999999999,1.661228888681568
-0.009915,1.661228888681568
-0.009912499999999999,1.660894944859709
-0.00991,1.660894944859709
-0.0099075,1.661228888681568
-0.009905000000000001,1.661228888681568
-0.0099025,1.661228888681568
-0.009900000000000001,1.661228888681568
-0.0098975,1.660894944859709
-0.009894999999999999,1.661228888681568
-0.0098925,1.661228888681568
-0.009889999999999999,1.661228888681568
-0.0098875,1.660894944859709
-0.009885,1.661228888681568
-0.009882500000000001,1.661228888681568
-0.00988,1.661562832503426
-0.009877500000000001,1.661228888681568
-0.009875,1.660561001037851
-0.009872499999999999,1.660894944859709
-0.00987,1.661228888681568
-0.0098675,1.660894944859709
-0.009865000000000001,1.661228888681568
