Time (s),Channel 1 (V)
-0.01024,-0.001477400352456369
-0.0102375,-0.001477400352456369
-0.010235,-0.00114345653059791
-0.0102325,-0.001477400352456369
-0.01023,-0.0008095127087391468
-0.0102275,-0.001477400352456369
-0.010225,-0.001477400352456369
-0.0102225,-0.00114345653059791
-0.01022,-0.001143456530597758
-0.0102175,-0.001477400352456369
-0.010215,-0.001477400352456369
-0.0102125,-0.001477400352456369
-0.01021,-0.001477400352456369
-0.0102075,-0.001143456530597758
-0.010205,-0.001477400352456369
-0.0102025,-0.001143456530597758
-0.0102,-0.001477400352456217
-0.0101975,-0.001477400352456369
-0.010195,-0.001811344174314828
-0.0101925,-0.001477400352456369
-0.01019,-0.001477400352456369
-0.0101875,-0.001477400352456369
-0.010185,-0.001477400352456369
-0.0101825,-0.001477400352456369
-0.01018,-0.001477400352456369
-0.0101775,-0.00114345653059791
-0.010175,-0.001477400352456369
-0.0101725,-0.001477400352456521
-0.01017,-0.00181134417431498
-0.0101675,-0.001477400352456369
-0.010165,-0.001143456530597758
-0.0101625,-0.001477400352456369
-0.01016,-0.001477400352456369
-0.0101575,-0.00181134417431498
-0.010155,-0.001477400352456521
-0.0101525,-0.001477400352456369
-0.01015,-0.001477400352456369
-0.0101475,-0.001477400352456369
-0.010145,-0.001477400352456369
-0.0101425,-0.001143456530597758
-0.01014,-0.001477400352456369
-0.0101375,-0.001811344174314828
-0.010135,-0.001477400352456369
-0.0101325,-0.001811344174314676
-0.01013,-0.001143456530597758
-0.0101275,-0.001477400352456369
-0.010125,-0.001477400352456369
-0.0101225,-0.001143456530597758
-0.01012,-0.001477400352456369
-0.0101175,-0.001477400352456369
-0.010115,-0.00114345653059791
-0.0101125,-0.001477400352456369
-0.01011,-0.001477400352456369
-0.0101075,-0.001477400352456369
-0.010105,-0.001143456530597758
-0.0101025,-0.001143456530597758
-0.0101,-0.001143456530597758
-0.0100975,-0.001477400352456217
-0.010095,-0.001477400352456369
-0.0100925,-0.00114345653059791
-0.01009,-0.001477400352456369
-0.0100875,-0.001477400352456217
-0.010085,-0.001143456530597758
-0.0100825,-0.001477400352456369
-0.01008,-0.001143456530597758
-0.0100775,-0.001477400352456369
-0.010075,-0.00114345653059791
-0.0100725,-0.001477400352456369
-0.01007,-0.001477400352456369
-0.0100675,-0.001477400352456369
-0.010065,-0.001477400352456217
-0.0100625,-0.001143456530597758
-0.01006,-0.001143456530597758
-0.0100575,-0.001477400352456369
-0.010055,-0.001477400352456369
-0.0100525,-0.001811344174314828
-0.01005,-0.001477400352456369
-0.0100475,-0.001477400352456065
-0.010045,-0.0008095127087391468
-0.0100425,-0.001477400352456217
-0.01004,-0.001143456530597758
-0.0100375,-0.001477400352456369
-0.010035,-0.001477400352456369
-0.0100325,-0.00181134417431498
-0.01003,-0.001143456530598061
-0.0100275,-0.001143456530597758
-0.010025,-0.001477400352456369
-0.0100225,-0.001477400352456369
-0.01002,-0.001143456530597758
-0.0100175,-0.001143456530597758
-0.010015,-0.001143456530597758
-0.0100125,-0.001143456530597758
-0.01001,-0.001143456530597758
-0.0100075,-0.001143456530597758
-0.010005,-0.001477400352456369
-0.0100025,-0.00114345653059791
-0.01,-0.001477400352456369
-0.009997499999999999,-0.001477400352456369
-0.009995,-0.001477400352456369
-0.0099925,-0.001477400352456369
-0.009990000000000001,-0.001477400352456369
-0.0099875,-0.001477400352456369
-0.009985000000000001,-0.00114345653059791
-0.0099825,-0.001477400352456369
-0.009979999999999999,-0.00181134417431498
-0.0099775,-0.00181134417431498
-0.009974999999999999,-0.001477400352456369
-0.0099725,-0.001477400352456369
-0.00997,-0.001477400352456369
-0.009967500000000001,-0.001477400352456369
-0.009965,-0.00181134417431498
-0.009962499999999999,-0.001477400352456369
-0.00996,-0.001477400352456369
-0.009957499999999999,-0.001477400352456521
-0.009955,-0.00181134417431498
-0.0099525,-0.001477400352456369
-0.009950000000000001,-0.001477400352456369
-0.0099475,-0.001477400352456369
-0.009945000000000001,-0.00114345653059791
-0.0099425,-0.001477400352456369
-0.009939999999999999,-0.001477400352456369
-0.0099375,-0.001477400352456369
-0.009934999999999999,-0.001477400352456369
-0.0099325,-0.001477400352456369
-0.00993,-0.001143456530597758
-0.009927500000000001,-0.001477400352456369
-0.009925,-0.001477400352456369
-0.009922500000000001,-0.001811344174314828
-0.00992,-0.001477400352456369
-0.009917499999999999,-0.00114345653059791
-0.009915,-0.001477400352456369
-0.009912499999999999,-0.001477400352456369
